web-scraper-order,web-scraper-start-url,spray-link,spray-link-href,name,hex,ref
"1649325000-48","https://www.sprayplanet.com/collections/hardcore","Surgical Green (HRV-21)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-surgical-green","MTN Hardcore Spray Paint - Surgical Green (HRV-21)","Hex: #009473","MTN Hardcore Spray Paint - Surgical Green (HRV-21)"
"1649325144-70","https://www.sprayplanet.com/collections/hardcore","Avatar Blue (HRV-217)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-avatar-blue","MTN Hardcore Spray Paint - Avatar Blue (HRV-217)","Hex: #00A2DD","MTN Hardcore Spray Paint - Avatar Blue (HRV-217)"
"1649325276-91","https://www.sprayplanet.com/collections/hardcore","Blue Violet (HRV-3)","https://www.sprayplanet.com/collections/hardcore/products/blue-violet","MTN Hardcore Spray Paint - Blue Violet (HRV-3)","Hex: #574A96","MTN Hardcore Spray Paint - Blue Violet (HRV-3)"
"1649324944-36","https://www.sprayplanet.com/collections/hardcore","Pistachio Green (HRV-16)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-pistachio-green","MTN Hardcore Spray Paint - Pistachio Green (HRV-16)","Hex: #b0c643","MTN Hardcore Spray Paint - Pistachio Green (HRV-16)"
"1649324873-21","https://www.sprayplanet.com/collections/hardcore","Greyhound Brown (HRV-249)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-greyhound-brown","MTN Hardcore Spray Paint - Greyhound Brown (HRV-249)","Hex: #b0763f","MTN Hardcore Spray Paint - Greyhound Brown (HRV-249)"
"1649324805-8","https://www.sprayplanet.com/collections/hardcore","Matter Grey (HRV-262)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-matter-grey","MTN Hardcore Spray Paint - Matter Grey (HRV-262)","Hex: #7b7b7b","MTN Hardcore Spray Paint - Matter Grey (HRV-262)"
"1649325372-101","https://www.sprayplanet.com/collections/hardcore","NEW Treze Violet (HRV-349)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-treze-violet","MTN Hardcore Spray Paint - NEW Treze Violet (HRV-349)","Hex #F6B8D0","MTN Hardcore Spray Paint - NEW Treze Violet (HRV-349)"
"1649325381-102","https://www.sprayplanet.com/collections/hardcore","Merlot Red (HRV-213)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-merlot-red","MTN Hardcore Spray Paint - Merlot Red (HRV-213)","Hex: #762A3D","MTN Hardcore Spray Paint - Merlot Red (HRV-213)"
"1649325399-105","https://www.sprayplanet.com/collections/hardcore","Erika (HRV-4003)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-erika","MTN Hardcore Spray Paint - Erika (HRV-4003)","","MTN Hardcore Spray Paint - Erika (HRV-4003)"
"1649324940-35","https://www.sprayplanet.com/collections/hardcore","NEW Mantis Green (HRV-362)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mantis-green","MTN Hardcore Spray Paint - NEW Mantis Green (HRV-362)","Hex #78BE7A","MTN Hardcore Spray Paint - NEW Mantis Green (HRV-362)"
"1649324919-31","https://www.sprayplanet.com/collections/hardcore","NEW Pale Green (HRV-6019)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-pale-green","MTN Hardcore Spray Paint - NEW Pale Green (HRV-6019)","Hex #CCE0AC","MTN Hardcore Spray Paint - NEW Pale Green (HRV-6019)"
"1649325304-95","https://www.sprayplanet.com/collections/hardcore","Cherry (HRV-4007)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-cherry","MTN Hardcore Spray Paint - Cherry (HRV-4007)","Hex: #582741","MTN Hardcore Spray Paint - Cherry (HRV-4007)"
"1649324949-37","https://www.sprayplanet.com/collections/hardcore","Mojito Green (HRV-236)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mojito-green","MTN Hardcore Spray Paint - Mojito Green (HRV-236)","Hex: #ced50a","MTN Hardcore Spray Paint - Mojito Green (HRV-236)"
"1649325283-92","https://www.sprayplanet.com/collections/hardcore","Prophet Violet (HRV-215)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-prophet-violet","MTN Hardcore Spray Paint - Prophet Violet (HRV-215)","Hex: #6D63A5","MTN Hardcore Spray Paint - Prophet Violet (HRV-215)"
"1649325493-122","https://www.sprayplanet.com/collections/hardcore","NEW Apricot (HRV-9)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-apricot","MTN Hardcore Spray Paint - NEW Apricot (HRV-9)","Hex #FAC294","MTN Hardcore Spray Paint - NEW Apricot (HRV-9)"
"1649325476-118","https://www.sprayplanet.com/collections/hardcore","Calcutta Orange (HRV-209)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-calcutta-orange","MTN Hardcore Spray Paint - Calcutta Orange (HRV-209)","Hex: #DC4126","MTN Hardcore Spray Paint - Calcutta Orange (HRV-209)"
"1649324790-5","https://www.sprayplanet.com/collections/hardcore","Sputnik Grey (HRV-263)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-sputnik-grey","MTN Hardcore Spray Paint - Sputnik Grey (HRV-263)","Hex: #575757","MTN Hardcore Spray Paint - Sputnik Grey (HRV-263)"
"1649325113-65","https://www.sprayplanet.com/collections/hardcore","Patagonia Blue (HRV-255)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-patagonia-green","MTN Hardcore Spray Paint - Patagonia Blue (HRV-255)","Hex: #83CCDF","MTN Hardcore Spray Paint - Patagonia Blue (HRV-255)"
"1649325255-88","https://www.sprayplanet.com/collections/hardcore","Vampire Violet (HRV-27)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-vampire-violet","MTN Hardcore Spray Paint - Vampire Violet (HRV-27)","Hex: #3E2D65","MTN Hardcore Spray Paint - Vampire Violet (HRV-27)"
"1649325360-100","https://www.sprayplanet.com/collections/hardcore","Princess Violet (HRV-257)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-princess-violet","MTN Hardcore Spray Paint - Princess Violet (HRV-257)","Hex: #CA87B6","MTN Hardcore Spray Paint - Princess Violet (HRV-257)"
"1649325018-51","https://www.sprayplanet.com/collections/hardcore","Max Green (HRV-254)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-max-green","MTN Hardcore Spray Paint - Max Green (HRV-254)","Hex: #9fe5c2","MTN Hardcore Spray Paint - Max Green (HRV-254)"
"1649325149-71","https://www.sprayplanet.com/collections/hardcore","Light Blue (HRV-8)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-light-blue","MTN Hardcore Spray Paint - Light Blue (HRV-8)","Hex: #60C5E7","MTN Hardcore Spray Paint - Light Blue (HRV-8)"
"1649324886-24","https://www.sprayplanet.com/collections/hardcore","Druid Brown (HRV-246)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-druid-brown","MTN Hardcore Spray Paint - Druid Brown (HRV-246)","Hex: #eecf99","MTN Hardcore Spray Paint - Druid Brown (HRV-246)"
"1649325552-132","https://www.sprayplanet.com/collections/hardcore","Light Yellow (HRV-1021)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-light-yellow","MTN Hardcore Spray Paint - Light Yellow (HRV-1021)","Hex: #ffe100","MTN Hardcore Spray Paint - Light Yellow (HRV-1021)"
"1649324931-33","https://www.sprayplanet.com/collections/hardcore","NEW Natura Green (HRV-363)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-natura-green","MTN Hardcore Spray Paint - NEW Natura Green (HRV-363)","Hex #00964F","MTN Hardcore Spray Paint - NEW Natura Green (HRV-363)"
"1649325244-86","https://www.sprayplanet.com/collections/hardcore","NEW Hortensia Blue (HRV-351)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-hortensia-blue","MTN Hardcore Spray Paint - NEW Hortensia Blue (HRV-351)","Hex #889ed1","MTN Hardcore Spray Paint - NEW Hortensia Blue (HRV-351)"
"1649325558-133","https://www.sprayplanet.com/collections/hardcore","Party Yellow (HRV-20)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_party_yellow","MTN Hardcore Spray Paint - Party Yellow (HRV-20)","Hex: #fdef46","MTN Hardcore Spray Paint - Party Yellow (HRV-20)"
"1649325157-72","https://www.sprayplanet.com/collections/hardcore","Arctic Blue (HRV-29)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-arctic-blue","MTN Hardcore Spray Paint - Arctic Blue (HRV-29)","Hex: #6BDCFF","MTN Hardcore Spray Paint - Arctic Blue (HRV-29)"
"1649325173-74","https://www.sprayplanet.com/collections/hardcore","Nostromo Blue (HRV-75)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-nostromo-blue","MTN Hardcore Spray Paint - Nostromo Blue (HRV-75)","Hex: #020E37","MTN Hardcore Spray Paint - Nostromo Blue (HRV-75)"
"1649325395-104","https://www.sprayplanet.com/collections/hardcore","Magenta (HRV-4010)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-magenta","MTN Hardcore Spray Paint - Magenta (HRV-4010)","","MTN Hardcore Spray Paint - Magenta (HRV-4010)"
"1649325290-93","https://www.sprayplanet.com/collections/hardcore","Violet (HRV-214)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-violet","MTN Hardcore Spray Paint - Violet (HRV-214)","Hex: #9993C3","MTN Hardcore Spray Paint - Violet (HRV-214)"
"1649325129-68","https://www.sprayplanet.com/collections/hardcore","Dark Blue (HRV-5005)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-waimea-blue","MTN Hardcore Spray Paint - Dark Blue (HRV-5005)","Hex: #00659D","MTN Hardcore Spray Paint - Dark Blue (HRV-5005)"
"1649324825-12","https://www.sprayplanet.com/collections/hardcore","NEW Nazgul Grey (HRV-40)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-nazgul-grey","MTN Hardcore Spray Paint - NEW Nazgul Grey (HRV-40)","Hex #928782","MTN Hardcore Spray Paint - NEW Nazgul Grey (HRV-40)"
"1649325484-120","https://www.sprayplanet.com/collections/hardcore","Pastel Orange (HRV-2003)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-pastel-orange","MTN Hardcore Spray Paint - Pastel Orange (HRV-2003)","Hex: #EC753B","MTN Hardcore Spray Paint - Pastel Orange (HRV-2003)"
"1649324819-11","https://www.sprayplanet.com/collections/hardcore","NEW Ripley Grey (HRV-39)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-ripley-grey","MTN Hardcore Spray Paint - NEW Ripley Grey (HRV-39)","Hex #7E7F82","MTN Hardcore Spray Paint - NEW Ripley Grey (HRV-39)"
"1649324877-22","https://www.sprayplanet.com/collections/hardcore","Baobab Brown (HRV-248)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-baobab-brown","MTN Hardcore Spray Paint - Baobab Brown (HRV-248)","Hex: #cc9456","MTN Hardcore Spray Paint - Baobab Brown (HRV-248)"
"1649325052-54","https://www.sprayplanet.com/collections/hardcore","NEW Major Blue (HRV-360)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-major-blue","MTN Hardcore Spray Paint - NEW Major Blue (HRV-360)","Hex #1F6363","MTN Hardcore Spray Paint - NEW Major Blue (HRV-360)"
"1649325563-134","https://www.sprayplanet.com/collections/hardcore","NEW Cream (HRV-7)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-cream","MTN Hardcore Spray Paint - NEW Cream (HRV-7)","Hex #FED792","MTN Hardcore Spray Paint - NEW Cream (HRV-7)"
"1649324904-28","https://www.sprayplanet.com/collections/hardcore","Rambo Green (HRV-250)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-rambo-green","MTN Hardcore Spray Paint - Rambo Green (HRV-250)","Hex: #8f995b","MTN Hardcore Spray Paint - Rambo Green (HRV-250)"
